rx, ry, rz, vx, vy, vz, m
1.292619102690063864e+08,-4.152429886392717808e+07,-3.190311850434266496e+06,1.258596197775698045e+01,3.286093515090455242e+01,4.284418315954368062e-01,7.800221215868537001e+02
1.367826246864424050e+08,-1.627372624537941068e+07,-2.821854229479932226e+06,7.506990354995855874e+00,3.445651963798358963e+01,6.705236725876977388e-01,7.610583586984852218e+02
1.404860075349645913e+08,9.793833901302473620e+06,-2.279305168231221847e+06,2.368191991912667493e+00,3.463771885577315857e+01,7.843072555844519123e-01,7.421045607163414388e+02
1.404226788412300646e+08,3.564871915652535111e+07,-1.661114988112446852e+06,-2.467538400428413770e+00,3.386233270996227418e+01,8.525540402693501107e-01,7.398563708160583019e+02
1.368895382627999783e+08,6.063301533423712105e+07,-1.001446320540855173e+06,-6.821963653769853586e+00,3.235744917711472368e+01,8.946324322123315742e-01,7.398318372511029111e+02
1.302872468722472191e+08,8.426829865387636423e+07,-3.189977038341399748e+05,-1.060637291546409955e+01,3.031199439530529816e+01,9.135651861399642915e-01,7.398233336258961117e+02
1.210576820272729844e+08,1.062146874749731570e+08,3.701787189511709730e+05,-1.379688835662686408e+01,2.790098269492373717e+01,9.131433460313015393e-01,7.398188844777885151e+02
1.096426972136278898e+08,1.262538764441601932e+08,1.052964231628081063e+06,-1.641403004930744913e+01,2.527060104570060517e+01,8.972207448728127810e-01,7.398148340060691908e+02
9.645799592765125632e+07,1.442653428478128314e+08,1.719040013246932067e+06,-1.850391386777311098e+01,2.253424250682532914e+01,8.693270713525452775e-01,7.398112884860496479e+02
8.187949643638858199e+07,1.602022750791401267e+08,2.360557016033687629e+06,-2.012411549896446417e+01,1.977492237895313920e+01,8.324749250392697864e-01,7.398082709339570329e+02
6.623845411988431215e+07,1.740705575111718178e+08,2.971723839381850325e+06,-2.133445539232273802e+01,1.705047381251797844e+01,7.891164905630030368e-01,7.398056413114633187e+02
4.982196726480671018e+07,1.859119635533641577e+08,3.548396869442713447e+06,-2.219171749097633040e+01,1.439925884968525871e+01,7.411846530722007165e-01,7.398032646154808845e+02
3.287636896222640574e+07,1.957914692182514071e+08,4.087716606895632576e+06,-2.274707361670779449e+01,1.184528596992179672e+01,6.901688546798726565e-01,7.398010315921219444e+02
1.561187365099215880e+07,2.037880642533605099e+08,4.587804877666930668e+06,-2.304518034835698970e+01,9.402354602547505991e+00,6.371972951445097344e-01,7.397988549869919552e+02
-1.792487018288420048e+06,2.099883096534085870e+08,5.047521998864262365e+06,-2.312421488376214995e+01,7.077218349130025565e+00,5.831124439668532444e-01,7.397967065838441840e+02
-1.918415497194908932e+07,2.144819510416954756e+08,5.466276599198443815e+06,-2.301639103828841471e+01,4.871898667665906402e+00,5.285416045804309793e-01,7.397947126747890252e+02
-3.643280995147406310e+07,2.173590151851896048e+08,5.843883909643715248e+06,-2.274867421517658528e+01,2.785326873680593618e+00,4.739556867593752720e-01,7.397927033445408824e+02
-5.342669283648736030e+07,2.187079475756690502e+08,6.180464001859663986e+06,-2.234346137220351380e+01,8.145713675064204518e-01,4.196756773411668417e-01,7.397892108184989866e+02
-7.006942873428618908e+07,2.186145316816311479e+08,6.476341272181397304e+06,-2.181933511092343281e+01,-1.044449487831594192e+00,3.659523661917832293e-01,7.397847316212782971e+02
-8.627739096806481481e+07,2.171612433023627102e+08,6.732001088825182058e+06,-2.130260486374629991e+01,-3.064159566862335815e+00,3.582058432396205694e-01,7.397772468053541388e+02
-1.020608134176039994e+08,2.142250308472090960e+08,6.982081648241108283e+06,-2.074883652456326999e+01,-5.200516991102388076e+00,3.586133547816451328e-01,7.287816170835659477e+02
-1.173948748291092515e+08,2.097156786958321929e+08,7.232616491439687088e+06,-2.008645640611880623e+01,-7.265240674582848612e+00,3.380498373918416899e-01,7.098331177403292713e+02
-1.321997166989519894e+08,2.036850533366917670e+08,7.467691711394920945e+06,-1.932056756776914597e+01,-9.261598608164632651e+00,2.990574408570584874e-01,6.908877646708469911e+02
-1.463987462064633369e+08,1.961831425110358000e+08,7.673357394578291103e+06,-1.845438686862519262e+01,-1.119210318340305754e+01,2.438313951258958834e-01,6.719482482495391196e+02
-1.599173624397512972e+08,1.872585983082568049e+08,7.837356066772624850e+06,-1.748972743820511155e+01,-1.305827092121502631e+01,1.742953247872823797e-01,6.530155458402547310e+02
-1.726820230236312151e+08,1.769594687051655352e+08,7.948911979748392478e+06,-1.642739999063601175e+01,-1.486050002811605886e+01,9.214899879630834845e-02,6.340903094308522441e+02
